#no_of_channels	Piconet_id	pCol
20	1	0.125276
20	2	0.129082
20	3	0.105796
20	4	0.099898
20	5	0.117418
20	6	0.102888
20	7	0.104745
20	8	0.094459
20	9	0.077653
20	10	0.081143

30	1	0.052837
30	2	0.030878
30	3	0.024
30	4	0.029163
30	5	0.035776
30	6	0.031908
30	7	0.035102
30	8	0.035153
30	9	0.033571
30	10	0.023582

40	1	0.010316
40	2	0.016847
40	3	0.006276
40	4	0.014296
40	5	0.012663
40	6	0.007235
40	7	0.009857
40	8	0.006276
40	9	0.007796
40	10	0.008867

50	1	0.006112
50	2	0.008867
50	3	0.002745
50	4	0.003122
50	5	0.000582
50	6	0.005898
50	7	0.005796
50	8	0.004939
50	9	0.005959
50	10	0.005571

60	1	0.003061
60	2	0.004255
60	3	0.001898
60	4	0.001459
60	5	0.000837
60	6	0.004051
60	7	0.000755
60	8	0.002102
60	9	0.000276
60	10	0.002255

70	1	0.002367
70	2	0.002469
70	3	0.000602
70	4	0.006388
70	5	0.006571
70	6	0.001551
70	7	0.006765
70	8	0.001796
70	9	0.002163
70	10	0.000224

79	1	0.002612
79	2	0.003724
79	3	0.002408
79	4	0.002704
79	5	0.000878
79	6	0.001653
79	7	0.002439
79	8	0.00248
79	9	0.001561
79	10	0.002143
